datetime,total_load_kw,base_load_kw,solar_pv_kw,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,surface_pressure,hour,month
2022-01-01 00:00:00,95.72936809118517,83.5709621767282,0.0137111526538532,22.3,72,12.8,0.0,892.5,0,1
2022-01-05 00:00:00,83.34002011154642,82.57219556293064,0.0131329715178473,20.8,55,6.5,0.0,890.7,0,1
2022-01-05 08:00:00,134.74593971921715,133.27232119814852,44.76129679808111,19.8,39,8.9,0.0,893.0,8,1
2022-01-06 17:00:00,132.72643560845384,119.89370529480377,56.84222644031328,30.8,27,12.8,0.0,889.7,17,1
2022-01-07 19:00:00,130.53595507604308,122.83276520373188,0.0138763472641406,29.5,25,9.7,0.0,888.9,19,1
2022-01-07 22:00:00,120.12919021176845,111.58862885991049,0.0146197230104338,27.2,29,11.3,0.0,890.6,22,1
2022-01-10 20:00:00,133.41959219321973,119.96895143978968,0.0134633607384221,29.4,23,12.6,0.0,887.7,20,1
2022-01-11 08:00:00,130.19945365488763,124.55087174802586,73.48987848663516,22.7,43,16.3,0.0,890.4,8,1
2022-01-11 23:00:00,118.13644762787168,108.4068980684702,0.0133807634332784,26.9,30,17.1,0.0,889.8,23,1
2022-01-12 07:00:00,160.46228028648582,133.7361050665304,16.578105115390887,22.0,48,14.4,0.0,890.3,7,1
2022-01-16 23:00:00,104.21706716775118,100.82347428861736,0.013215568822991,21.1,83,7.9,0.0,891.4,23,1
2022-01-17 01:00:00,78.96489839778066,78.94053219276327,0.004047267952041,18.5,95,15.2,5.9,892.0,1,1
2022-01-17 13:00:00,146.53687022308986,133.15709795747307,124.27144506472472,24.0,62,4.7,0.1,894.8,13,1
2022-01-18 08:00:00,127.18597357402513,122.48098328112484,54.826687000196856,18.3,90,2.4,0.3,894.6,8,1
2022-01-18 15:00:00,138.05990879619245,123.65791228211737,81.226189878309,25.5,51,10.7,0.0,894.3,15,1
2022-01-19 01:00:00,102.21333914227029,88.86049359813038,0.0130503742127036,17.9,91,8.0,0.0,893.2,1,1
2022-01-19 13:00:00,169.16233703457632,156.9921197054838,133.8045782324945,26.6,48,6.7,0.0,894.7,13,1
2022-01-20 08:00:00,153.205363653866,139.02001987118277,56.66332067737204,19.5,76,7.1,0.0,893.2,8,1
2022-01-21 00:00:00,103.57239520110464,98.66322436988916,0.0131329715178473,20.0,42,11.5,0.0,892.0,0,1
2022-01-26 08:00:00,151.471884900142,137.44704458466833,56.022189974326984,20.5,49,7.6,0.0,889.2,8,1
2022-01-27 00:00:00,102.40050054760508,97.54687570467198,0.0129843753684926,23.5,40,8.1,0.0,888.9,0,1
2022-02-01 00:00:00,108.00290558058155,103.61189871261855,0.0126842746295552,22.7,41,12.5,0.0,890.7,0,2
2022-02-01 07:00:00,106.69916068435144,105.97768235463109,9.176992414264106,20.0,69,8.4,0.0,890.4,7,2
2022-02-03 12:00:00,132.5740314226329,120.16592074703752,84.65396579524133,30.4,23,14.8,0.0,894.0,12,2
2022-02-03 23:00:00,90.63219287650143,86.4686198694595,0.0126842746295553,24.1,52,5.8,0.0,891.2,23,2
2022-02-05 17:00:00,141.90532241815026,125.93405449471824,5.848574527293449,30.4,24,5.8,0.0,890.5,17,2
2022-02-06 16:00:00,126.50275956734968,116.98762686992302,13.219422570571885,29.2,22,6.3,0.0,890.5,16,2
2022-02-09 19:00:00,140.8416095140894,127.731046920718,0.0130053955062529,29.4,39,3.9,0.0,888.7,19,2
2022-02-10 11:00:00,147.51883646370106,138.283881731193,96.73027832498894,28.6,38,1.5,0.2,893.2,11,2
2022-02-13 10:00:00,198.46923952426872,173.91368804473726,152.7970200337604,27.5,35,1.4,0.0,892.8,10,2
2022-02-15 18:00:00,125.43021583917968,108.69805199841272,9.44304106060807,31.2,17,15.3,0.0,889.3,18,2
2022-02-16 22:00:00,104.3741593936795,99.02147578022633,0.0145307196705665,26.2,24,10.0,0.0,888.1,22,2
2022-02-17 08:00:00,178.37285281877934,157.43464773502714,75.81696010918083,20.4,58,13.0,0.0,889.0,8,2
2022-02-18 08:00:00,146.61096685859383,120.95292712914026,22.747159262408942,21.2,59,10.1,0.0,888.8,8,2
2022-02-18 19:00:00,137.91162235488133,129.8408110806213,0.0127645548487297,30.4,22,10.7,0.0,887.2,19,2
2022-02-19 14:00:00,162.07412188133495,154.13488988630175,95.0137266786019,33.5,24,7.2,0.0,890.6,14,2
2022-02-20 13:00:00,143.4430097362167,123.23142091621202,112.24876581227733,32.8,10,11.5,0.0,892.7,13,2
2022-02-23 19:00:00,132.9031000410288,122.7423538210016,0.0128448350679041,30.0,18,10.1,0.0,889.2,19,2
2022-02-24 00:00:00,100.4460757812366,97.48598353983806,0.0031309285478016,25.1,25,7.3,0.0,891.1,0,2
2022-02-24 06:00:00,108.08950358239755,107.66401842077325,0.5479927760844602,20.0,41,9.0,0.0,889.6,6,2
2022-02-24 14:00:00,136.5301603433282,113.01720807021468,106.71424750239412,35.1,15,10.6,0.0,892.4,14,2
2022-02-24 17:00:00,128.03370334700548,118.41942457889844,59.168207416136056,33.2,15,10.4,0.0,890.6,17,2
2022-02-25 10:00:00,121.70360806510404,114.19186823717452,87.57247288310751,27.2,52,11.5,0.0,894.4,10,2
2022-02-25 17:00:00,104.95932191124172,99.17264343293172,49.83506997557775,30.3,33,6.0,0.0,890.7,17,2
2022-02-27 19:00:00,153.75291660346997,145.7508251968232,0.0126842746295552,31.2,28,6.8,0.1,889.5,19,2
2022-02-28 08:00:00,153.92728523951675,143.14789965053163,49.2512722217415,22.5,63,9.2,0.0,890.9,8,2
2022-03-01 00:00:00,116.553168417643,111.81453883861865,0.0136884502246206,23.5,61,3.6,0.0,889.4,0,3
2022-03-01 07:00:00,115.14620998770908,114.3676144043631,9.903507101752147,20.9,77,12.2,0.0,889.9,7,3
2022-03-03 12:00:00,143.0695158537125,129.67909264664053,91.35576380574835,30.6,32,8.2,0.0,894.1,12,3
2022-03-03 23:00:00,97.80726901382955,93.3140785454783,0.0136884502246206,23.2,59,5.0,0.0,889.5,23,3
2022-03-05 17:00:00,153.1395368879439,135.90387206840634,6.311588454202949,34.8,16,5.6,0.0,887.6,17,3
2022-03-06 16:00:00,136.51759979873046,126.24918287200296,14.265964206882211,35.9,12,13.0,0.0,887.5,16,3
2022-03-09 19:00:00,151.9916130558159,137.84312694073486,0.0140349932682819,29.5,34,11.1,0.0,887.6,19,3
2022-03-10 11:00:00,159.1974558341868,149.2313977130538,104.38812141295736,29.9,44,8.9,0.0,892.5,11,3
