feature,importance
hours_since_last_outage,0.2800061679314488
solar_ratio,0.06377218290551961
hour,0.054899102821529905
solar_pv_kw,0.03696133168759846
shortwave_radiation,0.0331535597694687
peak_ratio,0.02960693208662141
load_std_24h,0.029391941584303735
outage_frequency_7d,0.025250038347859768
outage_trend_7d,0.024654279603274435
load_diff_24h,0.024540740113319495
hour_sin,0.023074146270265928
total_load_kw,0.022501576339428144
base_load_ratio,0.021571205438535725
avg_outage_duration_7d,0.021324523454533142
sterilization_kw,0.020106816020976134
load_diff_1h,0.019095079339492647
base_load_kw,0.018466538415678593
load_rolling_6h,0.0181574891107582
load_pct_change_1h,0.01796612913163469
evapotranspiration,0.017543126878451398
pressure_change_3h,0.01585592328112466
hour_cos,0.015372029603940804
load_rolling_24h,0.015329132222193419
surface_pressure,0.012953054889866198
temperature_2m,0.01262763432682049
humidity_change_3h,0.012106424886505178
thermal_amplitude_24h,0.011192129300823488
temp_humidity_interaction,0.009556107893237145
wind_speed_10m,0.009550937926452707
relative_humidity_2m,0.009390502347165253
wind_gusts_10m,0.00918678826939276
solar_available,0.008381823969097644
dew_point_2m,0.007811326404142729
cloud_cover_pct,0.007788862137950128
last_outage_duration_h,0.0077581472297696885
month_cos,0.0063087270374797425
day_of_week,0.005795435373272459
month,0.004442216823202851
month_sin,0.004003768556355613
weathercode,0.0031173793030262334
rain_intensity,0.0029453882764220894
wind_precipitation_interaction,0.0027437353724728357
precipitation,0.0021810431722329047
is_weekend,0.0011045262964877233
is_public_holiday,0.0002967439557609909
heat_stress,0.00015730389410537453
visibility_m,0.0
grid_available,0.0
cape,0.0
