test_month,n_train,n_test,outage_rate,accuracy,precision,recall,f1,roc_auc,brier
7,4344,744,0.0806,0.957,0.78,0.65,0.7091,0.9239,0.0432
8,5088,744,0.1169,0.9355,0.7468,0.6782,0.7108,0.9163,0.0662
9,5832,720,0.0958,0.9444,0.7101,0.7101,0.7101,0.9708,0.0555
10,6552,744,0.0995,0.9556,0.8154,0.7162,0.7626,0.9738,0.0424
11,7296,720,0.0958,0.9611,0.7887,0.8116,0.8,0.9877,0.0374
12,8016,744,0.0995,0.9637,0.8406,0.7838,0.8112,0.9903,0.03
