model,f1_cv,accuracy,precision,recall,f1,roc_auc,brier
LightGBM,0.3405,0.8436,0.4879,0.8441,0.6184,0.9196,0.1094
RandomForest,0.3519,0.8379,0.4756,0.7795,0.5908,0.9063,0.1269
XGBoost,0.3423,0.7648,0.3713,0.8175,0.5107,0.8804,0.1522
