feature,importance
load_std_24h,534
base_load_ratio,363
load_diff_24h,351
load_rolling_24h,338
solar_ratio,307
precip_cumul_48h,257
precip_cumul_24h,242
load_rolling_6h,238
sterilization_kw,228
peak_ratio,223
surface_pressure,207
load_pct_change_1h,192
load_diff_1h,175
day_of_week,162
temperature_2m,153
temp_humidity_interaction,150
precip_cumul_6h,147
solar_pv_kw,147
hour,141
month_cos,140
wind_speed_10m,132
month,117
base_load_kw,111
total_load_kw,101
hour_sin,97
shortwave_radiation,95
month_sin,94
hour_cos,91
relative_humidity_2m,87
gust_load_interaction,83
wind_gusts_10m,62
weathercode,52
wind_precipitation_interaction,34
rainy_season,24
precipitation,9
dry_season,9
is_weekend,8
night_no_solar,5
pressure_drop_3h,2
peak_demand_hours,2
heat_stress,1
solar_available,0
dangerous_gusts,0
cape,0
thunderstorm_risk,0
storm_risk,0
wmo_storm,0
