datetime,solar_pv_kw,total_load_kw,generators_kw,sterilization_kw,base_load_kw,grid_available,is_outage
2022-01-01 00:00:00,0.01288517960241631,94.60860525769036,0.0,3.133080978710613,91.47552427897975,1,0
2022-01-01 00:15:00,0.01552829336701453,100.3127751509139,1.674742959093546,12.24059023307492,88.07218491783895,0,1
2022-01-01 00:30:00,0.01288517960241631,118.4078623725739,21.5397252353726,23.7784425939873,94.62941977858657,0,1
2022-01-01 00:45:00,0.01354595804356587,69.58822958356247,0.0,9.481509852054959,60.10671973150751,1,0
2022-01-01 01:00:00,0.01255479038184154,127.4331047110151,0.0,4.953525584077636,122.4795791269374,1,0
2022-01-01 01:15:00,0.01288517960241631,113.2461915795341,0.0,4.229642801798299,109.0165487777358,1,0
2022-01-01 01:30:00,0.01288517960241631,98.75994581421241,0.0,1.837955234057487,96.92199058015493,1,0
2022-01-01 01:45:00,0.01288517960241631,96.21363609124263,0.0,4.061805077746312,92.15183101349632,1,0
2022-01-01 02:00:00,0.01288517960241631,94.82600136482857,0.0,4.030748491012283,90.79525287381628,1,0
2022-01-01 02:15:00,0.01288517960241631,94.15729358238521,0.0,3.13142903260774,91.02586454977747,1,0
2022-01-01 02:30:00,0.01288517960241631,89.39275063247634,0.0,3.988128281558136,85.4046223509182,1,0
2022-01-01 02:45:00,0.01288517960241631,92.64411095215273,0.0,2.984736218672538,89.65937473348019,1,0
2022-01-01 03:00:00,0.01288517960241631,95.65494791925067,0.0,3.037598493964502,92.61734942528616,1,0
2022-01-01 03:15:00,0.01288517960241631,92.72869059261987,0.0,5.153411062525375,87.57527953009449,1,0
2022-01-01 03:30:00,0.01288517960241631,89.93227622967497,0.0,3.318759720673638,86.61351650900133,1,0
2022-01-01 03:45:00,0.01288517960241631,101.4714501474696,0.0,6.076848934031879,95.39460121343777,1,0
2022-01-01 04:00:00,0.01288517960241631,99.79736796681723,0.0,2.979780380363917,96.81758758645331,1,0
2022-01-01 04:15:00,0.01288517960241631,114.9559557960086,0.0,16.66516267501234,98.29079312099624,1,0
2022-01-01 04:30:00,0.01288517960241631,105.6858950451215,0.0,22.3349720892961,83.3509229558254,1,0
2022-01-01 04:45:00,0.01288517960241631,95.76034208061404,0.0,8.059184257480544,87.7011578231335,1,0
2022-01-01 05:00:00,0.01288517960241631,96.01837606188293,0.0,5.620581420418111,90.39779464146483,1,0
2022-01-01 05:15:00,0.01288517960241631,98.1867205165152,0.0,5.334464355400355,92.85225616111484,1,0
2022-01-01 05:30:00,0.01288517960241631,94.9092594484134,0.0,3.966983371441351,90.94227607697204,1,0
2022-01-01 05:45:00,0.01288517960241631,99.09595165153698,0.0,3.015132026965417,96.08081962457156,1,0
2022-01-01 06:00:00,0.01288517960241631,113.4645788543341,0.0,3.93163172483985,109.5329471294942,1,0
2022-01-01 06:15:00,0.01288517960241631,114.0113730143853,0.0,2.968877536084949,111.0424954783004,1,0
2022-01-01 06:30:00,0.01684985024931364,112.6742878387192,0.0,4.082619598642523,108.5916682400766,1,0
2022-01-01 06:45:00,2.271095502231019,116.6918207609085,0.0,3.986145946234688,112.7056748146738,1,0
2022-01-01 07:00:00,7.827251024637048,116.9947876761755,0.0,4.002004628822277,112.9927830473533,1,0
2022-01-01 07:15:00,11.77804532427024,118.6457426113877,0.0,2.070549245342129,116.5751933660456,1,0
2022-01-01 07:30:00,17.07914036839254,115.5093577404713,0.0,5.694258216606287,109.815099523865,1,0
2022-01-01 07:45:00,43.53836109812357,118.7858276409114,0.0,2.317680382332063,116.4681472585794,1,0
2022-01-01 08:00:00,64.96575399850074,128.6221755158637,0.0,7.93594907820615,120.6862264376575,1,0
2022-01-01 08:15:00,70.73996640648615,138.9745913533537,0.0,4.290764807604632,134.6838265457491,1,0
2022-01-01 08:30:00,64.02117121687746,133.5132575372527,0.0,5.773221240323658,127.740036296929,1,0
2022-01-01 08:45:00,72.03277942659524,153.9280074765682,0.0,7.363054169729487,146.5649533068387,1,0
2022-01-01 09:00:00,87.62483791318071,171.1561533834399,0.0,7.041585458110228,164.1145679253297,1,0
2022-01-01 09:15:00,90.05055557064073,172.1004057758427,0.0,22.46944050207003,149.6309652737726,1,0
2022-01-01 09:30:00,86.28907429439688,185.4154217542267,0.0,40.54140047828977,144.874021275937,1,0
2022-01-01 09:45:00,89.49087623098706,202.1935775426757,0.0,46.62948264582119,155.5640948968545,1,0
2022-01-01 10:00:00,94.67038804193784,202.930675893778,0.0,48.37492889811774,154.5557469956602,1,0
2022-01-01 10:15:00,92.37253101284026,196.9109842949056,0.0,25.09240052421319,171.8185837706924,1,0
2022-01-01 10:30:00,86.39050378511334,173.7791134055831,0.0,12.28717511317597,161.4919382924071,1,0
2022-01-01 10:45:00,115.8681604340156,195.5025350475953,0.0,41.1397353567507,154.3627996908446,1,0
2022-01-01 11:00:00,115.8222363323557,176.9244187854549,0.0,38.77249659133242,138.1519221941225,1,0
2022-01-01 11:15:00,127.6614036624322,144.7871289109258,0.0,20.5221264360023,124.2650024749235,1,0
2022-01-01 11:30:00,135.2980201067976,144.1266808589968,0.0,7.003921086964703,137.1227597720321,1,0
2022-01-01 11:45:00,139.6277708424301,144.3384603493853,0.0,8.187044885842981,136.1514154635423,1,0
2022-01-01 12:00:00,148.903448210067,162.6407016123456,0.0,27.24356473937556,135.3971368729701,1,0
2022-01-01 12:15:00,168.9375897672803,185.3354675628476,0.0,49.95749326467093,135.3779742981767,1,0
2022-01-01 12:30:00,136.3318079779761,151.9384035902669,0.0,17.0299123745269,134.90849121574,1,0
2022-01-01 12:45:00,123.852015949205,130.3461464688229,0.0,6.064294143650037,124.2818523251728,1,0
2022-01-01 13:00:00,119.1049836279867,132.1725380801603,0.0,8.866325123344723,123.3062129568155,1,0
