datetime_str,Residual Demand,Dispatchable Generation,Thermal Generation,Nuclear Generation,Wind,PV,Total RE,Manual Load_Reduction(MLR),ILS Usage
,24188.766,23896.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,25558.276,25340.0,929.0,0.0,4.645,0.0,2077.72,0.0,0.0
,26621.373,26298.0,930.0,0.0,92.959,0.0,2077.72,0.0,0.0
,27929.286,27527.0,930.0,0.0,203.344,0.0,2077.72,0.0,0.0
,28164.702,27643.0,930.0,0.0,306.642,0.0,2077.72,50.0,0.0
,28506.479,27884.0,931.0,0.0,442.398,0.0,2077.72,50.0,0.0
,28292.411,27649.0,931.0,0.0,513.59,0.0,2077.72,50.0,0.0
,28055.145,27428.0,931.0,0.0,446.782,0.0,2077.72,50.0,0.0
,27941.801,27145.0,930.0,0.0,460.264,0.0,2077.72,50.0,0.0
,28009.587,27337.0,929.0,0.0,418.525,0.0,2077.72,50.0,0.0
,28338.335,27653.0,929.0,0.0,435.399,0.0,2077.72,50.0,0.0
,28579.273,28036.0,929.0,0.0,284.927,26.254,2077.72,40.0,0.0
,29088.011,28682.0,929.0,0.0,109.057,111.3,2077.72,15.0,0.0
,30610.867,30276.0,929.0,0.0,7.337,77.417,2077.72,0.0,0.0
,29657.328,29270.0,929.0,0.0,0.0,9.468,2077.72,20.0,0.0
,27590.092,27306.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,25673.284,25459.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,23793.005,23632.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22390.699,22234.0,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21670.889,21323.0,928.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21366.559,20890.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21410.075,20895.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21546.487,21065.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22498.045,22072.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,24468.51,24117.0,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,25960.833,25667.0,930.0,0.0,4.362,0.0,2077.72,0.0,0.0
,27109.988,26692.0,930.0,0.0,170.691,0.0,2077.72,0.0,0.0
,28308.494,27647.0,929.0,0.0,444.416,12.152,2077.72,0.0,0.0
,28466.421,27441.0,930.0,0.0,685.485,168.511,2077.72,0.0,0.0
,28769.008,27427.0,930.0,0.0,918.717,240.514,2077.72,0.0,0.0
,28789.938,27393.0,929.0,0.0,996.488,217.368,2077.72,0.0,0.0
,28522.465,27019.382,929.0,0.0,1029.428,207.572,2077.72,0.0,0.0
,28373.476,26888.796,928.0,0.0,977.454,206.675,2077.72,0.0,0.0
,29008.487,27505.089,928.0,0.0,905.35,204.59,2077.72,0.0,0.0
,29211.543,27893.0,928.0,0.0,814.532,102.821,2077.72,0.0,0.0
,29495.635,28392.0,928.0,0.0,581.398,102.18,2077.72,0.0,0.0
,29984.159,29155.0,929.0,0.0,217.731,166.729,2077.72,0.0,0.0
,31484.309,30896.0,928.0,0.0,4.471,161.174,2077.72,0.0,0.0
,30538.818,29993.0,928.0,0.0,0.0,169.087,2077.72,0.0,0.0
,28367.179,27920.0,928.0,0.0,0.0,135.693,2077.72,0.0,0.0
,26164.9,25753.0,928.0,0.0,0.0,131.721,2077.72,0.0,0.0
,23988.043,23611.0,927.0,0.0,0.0,41.696,2077.72,0.0,0.0
,22861.701,22408.0,927.0,0.0,0.0,37.006,2077.72,0.0,0.0
,22121.264,21561.516,928.0,0.0,0.0,36.794,2077.72,0.0,0.0
,21677.452,21058.0,928.0,0.0,0.0,14.705,2077.72,0.0,0.0
,21511.903,20836.0,928.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21879.577,21031.0,928.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22825.18,21966.0,928.0,0.0,0.0,0.0,2077.72,0.0,0.0
,24925.4,24047.0,927.0,0.0,0.0,0.0,2077.72,0.0,0.0
,26556.431,25659.0,928.0,0.0,6.203,0.0,2077.72,0.0,0.0
,27830.958,26674.484,928.0,0.0,209.743,0.0,2077.72,0.0,0.0
,28999.595,27590.0,929.0,0.0,526.313,44.234,2077.72,0.0,0.0
,29086.407,27336.0,929.0,0.0,770.873,160.002,2077.72,0.0,0.0
,29330.762,27158.0,928.0,0.0,1041.983,218.448,2077.72,0.0,0.0
,29513.286,27128.0,928.0,0.0,1134.875,207.168,2077.72,0.0,0.0
,29134.655,26740.0,928.0,0.0,1089.121,204.582,2077.72,0.0,0.0
,28701.362,26428.0,929.0,0.0,959.145,212.419,2077.72,0.0,0.0
,28264.633,26148.0,929.0,0.0,905.456,198.802,2077.72,0.0,0.0
,28106.014,25986.0,928.0,0.0,812.748,211.694,2077.72,0.0,0.0
,28198.116,26283.0,928.0,0.0,588.585,208.482,2077.72,0.0,0.0
,28453.842,27103.0,928.0,0.0,206.556,209.896,2077.72,0.0,0.0
,30062.399,29147.2,927.0,0.0,6.326,155.196,2077.72,0.0,0.0
,29577.464,28802.54,928.0,0.0,0.0,69.165,2077.72,0.0,0.0
,27990.099,27212.67,929.0,0.0,0.0,138.51,2077.72,0.0,0.0
,26158.639,25501.67,929.0,0.0,0.0,133.26,2077.72,0.0,0.0
,24480.957,24012.54,928.0,0.0,0.0,45.617,2077.72,0.0,0.0
,23332.841,22916.54,928.0,0.0,0.0,39.99,2077.72,0.0,0.0
,22489.713,22196.54,928.0,0.0,0.0,40.057,2077.72,0.0,0.0
,21947.056,21688.54,928.0,0.0,0.0,39.919,2077.72,0.0,0.0
,21870.22,21597.54,927.0,0.0,0.0,38.907,2077.72,0.0,0.0
,21963.879,21674.67,928.0,0.0,0.0,3.837,2077.72,0.0,0.0
,22193.399,21871.67,928.0,0.0,0.0,0.0,2077.72,0.0,0.0
,23086.21,22792.67,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,24300.634,23976.67,928.0,0.0,7.013,0.0,2077.72,0.0,0.0
,26029.291,25479.54,928.0,0.0,198.349,0.0,2077.72,0.0,0.0
,27764.842,26742.54,929.0,0.0,607.086,55.675,2077.72,0.0,0.0
,27955.694,26652.8,929.0,0.0,727.642,193.702,2077.72,0.0,0.0
,27798.549,26294.67,929.0,0.0,850.257,183.389,2077.72,0.0,0.0
,27502.46,25749.67,929.0,0.0,886.689,273.589,2077.72,0.0,0.0
,27312.592,25301.67,928.0,0.0,880.613,287.714,2077.72,0.0,0.0
,26929.977,24621.8,928.0,0.0,993.018,289.153,2077.72,0.0,0.0
,26404.489,24000.54,928.0,0.0,874.547,277.815,2077.72,0.0,0.0
,26294.214,23987.67,928.0,0.0,774.145,283.372,2077.72,0.0,0.0
,26347.137,24247.67,928.0,0.0,558.755,258.251,2077.72,0.0,0.0
,27067.373,25411.67,928.0,0.0,193.919,231.163,2077.72,0.0,0.0
,28758.6,27502.67,927.0,0.0,4.757,210.323,2077.72,0.0,0.0
,28219.369,26922.67,928.0,0.0,0.0,186.018,2077.72,0.0,0.0
,26517.348,25234.04,928.0,0.0,0.0,179.66,2077.72,0.0,0.0
,24685.855,23566.8,928.0,0.0,0.0,143.044,2077.72,0.0,0.0
,23230.59,22381.54,928.0,0.0,0.0,46.277,2077.72,0.0,0.0
,22036.449,21213.337,928.0,0.0,0.0,38.17,2077.72,0.0,0.0
,21259.344,20465.54,927.0,0.0,0.0,38.153,2077.72,0.0,0.0
,20978.919,20230.67,927.0,0.0,0.0,19.866,2077.72,0.0,0.0
,20875.542,20180.54,927.0,0.0,0.0,0.0,2077.72,0.0,0.0
,20947.965,20313.54,928.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21134.974,20576.67,928.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21805.716,21254.54,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22911.378,22370.8,929.0,0.0,6.569,0.0,2077.72,0.0,0.0
,25111.607,24414.54,929.0,0.0,217.498,0.024,2077.72,0.0,0.0
,26865.938,25767.67,929.0,0.0,593.747,74.246,2077.72,0.0,0.0
,27271.552,25773.67,929.0,0.0,874.762,243.952,2077.72,0.0,0.0
,26890.568,25206.54,929.0,0.0,1030.29,282.541,2077.72,0.0,0.0
,26831.915,25082.67,929.0,0.0,1103.161,278.258,2077.72,0.0,0.0
,26400.948,24588.67,929.0,0.0,1086.418,249.123,2077.72,0.0,0.0
,26151.517,24344.54,929.0,0.0,995.356,243.056,2077.72,0.0,0.0
,25805.928,24021.8,930.0,0.0,892.257,235.057,2077.72,0.0,0.0
,25525.209,23861.8,930.0,0.0,679.207,183.203,2077.72,0.0,0.0
,25910.587,24321.54,929.0,0.0,535.69,153.343,2077.72,0.0,0.0
,26778.147,25393.8,929.0,0.0,172.606,173.592,2077.72,0.0,0.0
,28722.942,27466.54,929.0,0.0,2.122,168.439,2077.72,0.0,0.0
,28181.107,27072.67,930.0,0.0,0.0,130.201,2077.72,0.0,0.0
,26328.18,25364.8,930.0,0.0,0.0,129.652,2077.72,0.0,0.0
,24241.398,23261.67,930.0,0.0,0.0,108.777,2077.72,0.0,0.0
,22713.594,21802.54,930.0,0.0,0.0,38.48,2077.72,0.0,0.0
,21684.001,20866.8,930.0,0.0,0.0,38.41,2077.72,0.0,0.0
,21226.594,20430.54,930.0,0.0,0.0,38.319,2077.72,0.0,0.0
,20928.148,20181.8,929.0,0.0,0.0,35.363,2077.72,0.0,0.0
,20836.445,20086.54,929.0,0.0,0.0,0.79,2077.72,0.0,0.0
,21058.664,20272.67,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22062.869,21276.67,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,24117.722,23193.67,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,25787.142,24779.54,929.0,0.0,2.134,0.0,2077.72,0.0,0.0
,27030.622,25945.67,928.0,0.0,43.373,0.0,2077.72,0.0,0.0
,28653.829,27506.8,928.0,0.0,134.098,42.434,2077.72,0.0,0.0
,29130.835,27629.604,929.0,0.0,217.928,211.874,2077.72,30.0,0.0
,29430.477,27682.805,929.0,0.0,326.493,269.281,2077.72,30.0,0.0
,29434.236,27583.738,929.0,0.0,526.143,264.726,2077.72,0.0,0.0
,29330.185,27363.67,928.0,0.0,672.059,274.677,2077.72,0.0,0.0
,29226.067,27138.94,928.0,0.0,764.111,257.567,2077.72,0.0,0.0
,29175.785,26950.54,929.0,0.0,776.927,217.699,2077.72,0.0,0.0
,29324.884,27010.8,929.0,0.0,677.201,182.774,2077.72,0.0,0.0
,29722.188,27487.67,928.0,0.0,499.291,201.921,2077.72,0.0,0.0
,30459.569,28514.262,928.0,0.0,155.713,218.918,2077.72,0.0,0.0
,32080.727,30442.043,928.0,0.0,3.493,188.33,2077.72,391.0,0.0
,30787.141,29156.619,928.0,0.0,0.0,177.574,2077.72,391.0,0.0
,28734.867,27156.19,928.0,0.0,0.0,158.401,2077.72,195.5,0.0
,26255.948,25021.67,928.0,0.0,0.0,120.765,2077.72,0.0,0.0
,24163.665,23450.8,927.0,0.0,0.0,20.059,2077.72,0.0,0.0
,22795.804,22301.54,927.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22267.713,21695.67,928.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22053.654,21470.67,928.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22039.596,21394.67,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22225.041,21602.67,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,23631.771,23016.67,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,26599.302,26098.67,929.0,0.0,0.0,0.0,2077.72,0.0,0.0
,28611.554,28117.54,929.0,0.0,3.253,0.0,2077.72,0.0,0.0
,27786.118,27230.8,930.0,0.0,128.155,0.0,2077.72,0.0,0.0
,28191.972,27351.54,930.0,0.0,429.63,71.03,2077.72,0.0,0.0
,28123.073,26876.036,930.0,0.0,669.042,256.971,2077.72,30.0,0.0
,28271.248,26807.003,930.0,0.0,869.131,283.24,2077.72,30.0,0.0
,28463.128,26842.06,930.0,0.0,989.097,276.915,2077.72,30.0,0.0
,28221.773,26476.166,931.0,0.0,1044.856,263.505,2077.72,30.0,0.0
,28227.965,26381.999,931.0,0.0,1024.08,264.577,2077.72,30.0,0.0
,28513.95,26551.082,931.0,0.0,1028.6,262.477,2077.72,30.0,0.0
,29049.298,27333.788,931.0,0.0,735.097,278.092,2077.72,30.0,0.0
,29451.99,27970.579,931.0,0.0,522.609,218.654,2077.72,30.0,0.0
,30392.705,29081.56,932.0,0.0,185.12,192.82,2077.72,15.0,0.0
,31864.695,30743.154,932.0,0.0,3.63,190.489,2077.72,826.333,0.0
,30531.128,29479.011,931.0,0.0,0.0,177.9,2077.72,901.0,0.0
,27943.737,26920.891,931.0,0.0,0.0,166.758,2077.72,74.667,0.0
,25319.361,24381.4,931.0,0.0,0.0,183.177,2077.72,0.0,0.0
,23442.765,22688.27,930.0,0.0,0.0,56.08,2077.72,0.0,0.0
,22018.505,21316.27,930.0,0.0,0.0,47.239,2077.72,0.0,0.0
,21724.943,20984.4,930.0,0.0,0.0,36.858,2077.72,0.0,0.0
,21720.161,20953.27,930.0,0.0,0.0,27.839,2077.72,0.0,0.0
,21434.048,20729.27,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21814.895,21183.4,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,23047.863,22423.27,931.0,0.0,0.0,0.0,2077.72,-90.0,0.0
,26043.327,25448.603,931.0,0.0,0.0,0.0,2077.72,-86.667,0.0
,28307.54,27724.27,931.0,0.0,5.056,0.0,2077.72,0.0,0.0
,27506.087,26687.4,930.0,0.0,252.382,0.0,2077.72,0.0,0.0
,28055.06,26767.27,930.0,0.0,731.838,54.098,2077.72,0.0,0.0
,27909.169,26260.296,930.0,0.0,1007.856,172.945,2077.72,0.0,0.0
,28172.052,26394.0,930.0,0.0,1090.158,249.321,2077.72,0.0,0.0
,28218.245,26299.27,931.0,0.0,1191.756,281.607,2077.72,0.0,0.0
,27812.125,25856.53,931.0,0.0,1194.943,285.478,2077.72,0.0,0.0
,27707.09,25825.77,931.0,0.0,1102.694,252.343,2077.72,0.0,0.0
,27858.843,26101.0,931.0,0.0,967.925,226.675,2077.72,0.0,0.0
,28584.242,26886.4,930.0,0.0,875.477,220.683,2077.72,15.0,0.0
,29258.562,27650.27,931.0,0.0,641.193,246.153,2077.72,30.0,0.0
,30433.223,29094.731,931.0,0.0,217.839,237.068,2077.72,0.0,0.0
,31706.443,30503.27,931.0,0.0,3.553,195.859,2077.72,301.0,0.0
,30247.443,28951.7,931.0,0.0,0.0,194.653,2077.72,301.0,0.0
,28066.786,26712.77,931.0,0.0,0.0,187.353,2077.72,0.0,0.0
,25783.479,24489.4,932.0,0.0,0.0,169.721,2077.72,0.0,0.0
,23606.997,22477.27,931.0,0.0,0.0,43.963,2077.72,0.0,0.0
,22218.094,21087.4,931.0,0.0,0.0,14.998,2077.72,0.0,0.0
,21625.899,20449.27,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21328.876,20208.4,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21287.62,20233.27,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21469.289,20424.4,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,23073.722,22017.27,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,26363.263,25220.4,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,28681.58,27477.4,931.0,0.0,0.761,0.0,2077.72,0.0,0.0
,28070.888,26717.27,930.0,0.0,74.204,0.0,2077.72,0.0,0.0
,28697.373,27212.535,930.0,0.0,212.202,74.765,2077.72,0.0,0.0
,28665.298,27100.603,930.0,0.0,212.06,262.263,2077.72,3.333,0.0
,28833.505,26989.846,930.0,0.0,450.815,250.54,2077.72,20.0,0.0
,28826.042,26773.4,933.0,0.0,576.435,252.254,2077.72,20.0,0.0
,28590.608,26607.27,932.0,0.0,589.957,230.745,2077.72,20.0,0.0
,28479.966,26622.4,931.0,0.0,587.632,213.95,2077.72,20.0,0.0
,28648.716,26913.2,931.0,0.0,597.485,221.709,2077.72,20.0,0.0
,29057.495,27339.27,931.0,0.0,572.726,190.305,2077.72,20.0,0.0
,29708.834,28237.4,931.0,0.0,368.967,138.57,2077.72,20.0,0.0
,30709.486,29498.721,930.0,0.0,105.491,217.331,2077.72,0.0,0.0
,32252.125,31226.42,930.0,0.0,1.313,195.259,2077.72,341.0,0.0
,30987.135,30098.707,931.0,0.0,0.0,175.689,2077.72,341.0,0.0
,28476.237,27512.489,932.0,0.0,0.0,139.102,2077.72,0.0,0.0
,26019.201,24934.4,932.0,0.0,0.0,138.487,2077.72,0.0,0.0
,23750.671,22820.4,932.0,0.0,0.0,43.174,2077.72,0.0,0.0
,22542.737,21708.27,932.0,0.0,0.0,33.399,2077.72,0.0,0.0
,21923.022,21132.27,932.0,0.0,0.0,0.323,2077.72,0.0,0.0
,21645.875,20838.4,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21560.198,20644.27,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21914.792,21013.27,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,23486.805,22602.53,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,26694.069,25801.27,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,29073.435,28108.4,931.0,0.0,3.119,0.0,2077.72,0.0,0.0
,28558.996,27533.27,931.0,0.0,87.397,0.0,2077.72,0.0,0.0
,29264.86,27932.27,931.0,0.0,326.73,46.758,2077.72,0.0,0.0
,29191.828,27585.4,931.0,0.0,492.051,133.606,2077.72,30.0,0.0
,29330.321,27545.27,931.0,0.0,615.884,195.09,2077.72,30.0,0.0
,29299.892,27492.27,931.0,0.0,687.818,227.973,2077.72,30.0,0.0
,29015.967,27164.4,932.0,0.0,789.039,242.602,2077.72,30.0,0.0
,28444.902,26545.9,932.0,0.0,817.228,253.525,2077.72,7.5,0.0
,28004.451,26091.4,932.0,0.0,775.766,239.753,2077.72,0.0,0.0
,27978.792,26219.27,931.0,0.0,607.631,230.041,2077.72,0.0,0.0
,28154.71,26458.27,931.0,0.0,420.082,236.56,2077.72,0.0,0.0
,28779.48,27384.4,930.0,0.0,116.656,238.614,2077.72,0.0,0.0
,30493.021,29365.27,930.0,0.0,1.477,193.21,2077.72,219.0,0.0
,29687.087,28758.27,931.0,0.0,0.0,153.729,2077.72,219.0,0.0
,28154.481,27427.67,932.0,0.0,0.0,144.145,2077.72,0.0,0.0
,26184.554,25529.27,931.0,0.0,0.0,143.169,2077.72,0.0,0.0
,24447.615,23898.27,931.0,0.0,0.0,28.119,2077.72,0.0,0.0
,23015.857,22492.4,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22381.708,21888.27,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21833.961,21430.4,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21683.362,21340.27,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21904.255,21616.27,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22212.231,21971.4,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,23053.046,22814.27,930.0,0.0,0.0,0.0,2077.72,0.0,0.0
,24493.275,24268.4,931.0,0.0,3.427,0.0,2077.72,0.0,0.0
,26196.192,25757.4,932.0,0.0,172.035,35.805,2077.72,0.0,0.0
,27667.454,26728.27,931.0,0.0,594.907,103.554,2077.72,0.0,0.0
,28027.961,26684.27,931.0,0.0,910.125,221.2,2077.72,0.0,0.0
,27883.519,26381.4,931.0,0.0,1023.371,259.645,2077.72,0.0,0.0
,27443.339,25925.27,931.0,0.0,1127.122,210.151,2077.72,0.0,0.0
,27357.655,25841.4,930.0,0.0,1128.092,219.061,2077.72,0.0,0.0
,27057.011,25608.27,930.0,0.0,1036.185,239.52,2077.72,0.0,0.0
,26630.025,25315.4,932.0,0.0,851.186,237.106,2077.72,0.0,0.0
,26652.165,25419.4,931.0,0.0,740.213,232.099,2077.72,0.0,0.0
,26778.556,25634.27,931.0,0.0,543.435,249.52,2077.72,0.0,0.0
