datetime,em_carbon_intensity_gco2_kwh,em_renewable_pct,em_fossil_pct,em_low_carbon_pct,em_zone,hospital
2026-04-29 17:00:00,96,,,,GB,kings_college_nhs
2026-04-29 18:00:00,84,,,,GB,kings_college_nhs
2026-04-29 19:00:00,98,,,,GB,kings_college_nhs
2026-04-29 20:00:00,55,,,,GB,kings_college_nhs
2026-04-29 21:00:00,49,,,,GB,kings_college_nhs
2026-04-29 22:00:00,70,,,,GB,kings_college_nhs
2026-04-29 23:00:00,63,,,,GB,kings_college_nhs
2026-04-30 00:00:00,53,,,,GB,kings_college_nhs
2026-04-30 01:00:00,67,,,,GB,kings_college_nhs
2026-04-30 02:00:00,66,,,,GB,kings_college_nhs
2026-04-30 03:00:00,51,,,,GB,kings_college_nhs
2026-04-30 04:00:00,49,,,,GB,kings_college_nhs
2026-04-30 05:00:00,80,,,,GB,kings_college_nhs
2026-04-30 06:00:00,58,,,,GB,kings_college_nhs
2026-04-30 07:00:00,57,,,,GB,kings_college_nhs
2026-04-30 08:00:00,60,,,,GB,kings_college_nhs
2026-04-30 09:00:00,64,,,,GB,kings_college_nhs
2026-04-30 10:00:00,61,,,,GB,kings_college_nhs
2026-04-30 11:00:00,50,,,,GB,kings_college_nhs
2026-04-30 12:00:00,50,,,,GB,kings_college_nhs
2026-04-30 13:00:00,43,,,,GB,kings_college_nhs
2026-04-30 14:00:00,45,,,,GB,kings_college_nhs
2026-04-30 15:00:00,73,,,,GB,kings_college_nhs
2026-04-30 16:00:00,79,,,,GB,kings_college_nhs
2026-04-30 17:00:00,103,,,,GB,kings_college_nhs
2026-04-30 18:00:00,150,,,,GB,kings_college_nhs
2026-04-30 19:00:00,126,,,,GB,kings_college_nhs
2026-04-30 20:00:00,84,,,,GB,kings_college_nhs
2026-04-30 21:00:00,81,,,,GB,kings_college_nhs
2026-04-30 22:00:00,61,,,,GB,kings_college_nhs
2026-04-30 23:00:00,60,,,,GB,kings_college_nhs
2026-05-01 00:00:00,83,,,,GB,kings_college_nhs
2026-05-01 01:00:00,61,,,,GB,kings_college_nhs
2026-05-01 02:00:00,86,,,,GB,kings_college_nhs
2026-05-01 03:00:00,71,,,,GB,kings_college_nhs
2026-05-01 04:00:00,100,,,,GB,kings_college_nhs
2026-05-01 05:00:00,99,,,,GB,kings_college_nhs
2026-05-01 06:00:00,145,,,,GB,kings_college_nhs
2026-05-01 07:00:00,134,,,,GB,kings_college_nhs
2026-05-01 08:00:00,101,,,,GB,kings_college_nhs
2026-05-01 09:00:00,111,,,,GB,kings_college_nhs
2026-05-01 10:00:00,125,,,,GB,kings_college_nhs
2026-05-01 11:00:00,100,,,,GB,kings_college_nhs
2026-05-01 12:00:00,118,,,,GB,kings_college_nhs
2026-05-01 13:00:00,121,,,,GB,kings_college_nhs
