datetime,em_carbon_intensity_gco2_kwh,em_renewable_pct,em_fossil_pct,em_low_carbon_pct,em_zone,hospital
2026-04-28 17:00:00,100,,,,GB,manchester_nhs
2026-04-28 18:00:00,118,,,,GB,manchester_nhs
2026-04-28 19:00:00,101,,,,GB,manchester_nhs
2026-04-28 20:00:00,104,,,,GB,manchester_nhs
2026-04-28 21:00:00,111,,,,GB,manchester_nhs
2026-04-28 22:00:00,87,,,,GB,manchester_nhs
2026-04-28 23:00:00,85,,,,GB,manchester_nhs
2026-04-29 00:00:00,87,,,,GB,manchester_nhs
2026-04-29 01:00:00,100,,,,GB,manchester_nhs
2026-04-29 02:00:00,90,,,,GB,manchester_nhs
2026-04-29 03:00:00,90,,,,GB,manchester_nhs
2026-04-29 04:00:00,86,,,,GB,manchester_nhs
2026-04-29 05:00:00,80,,,,GB,manchester_nhs
2026-04-29 06:00:00,88,,,,GB,manchester_nhs
2026-04-29 07:00:00,82,,,,GB,manchester_nhs
2026-04-29 08:00:00,78,,,,GB,manchester_nhs
2026-04-29 09:00:00,65,,,,GB,manchester_nhs
2026-04-29 10:00:00,76,,,,GB,manchester_nhs
2026-04-29 11:00:00,55,,,,GB,manchester_nhs
2026-04-29 12:00:00,56,,,,GB,manchester_nhs
2026-04-29 13:00:00,44,,,,GB,manchester_nhs
2026-04-29 14:00:00,44,,,,GB,manchester_nhs
2026-04-29 15:00:00,64,,,,GB,manchester_nhs
2026-04-29 16:00:00,51,,,,GB,manchester_nhs
2026-04-29 17:00:00,96,,,,GB,manchester_nhs
2026-04-29 18:00:00,84,,,,GB,manchester_nhs
2026-04-29 19:00:00,98,,,,GB,manchester_nhs
2026-04-29 20:00:00,55,,,,GB,manchester_nhs
2026-04-29 21:00:00,49,,,,GB,manchester_nhs
2026-04-29 22:00:00,70,,,,GB,manchester_nhs
2026-04-29 23:00:00,63,,,,GB,manchester_nhs
2026-04-30 00:00:00,53,,,,GB,manchester_nhs
2026-04-30 01:00:00,67,,,,GB,manchester_nhs
2026-04-30 02:00:00,66,,,,GB,manchester_nhs
2026-04-30 03:00:00,51,,,,GB,manchester_nhs
2026-04-30 04:00:00,49,,,,GB,manchester_nhs
2026-04-30 05:00:00,80,,,,GB,manchester_nhs
2026-04-30 06:00:00,58,,,,GB,manchester_nhs
2026-04-30 07:00:00,57,,,,GB,manchester_nhs
2026-04-30 08:00:00,60,,,,GB,manchester_nhs
2026-04-30 09:00:00,64,,,,GB,manchester_nhs
2026-04-30 10:00:00,61,,,,GB,manchester_nhs
2026-04-30 11:00:00,50,,,,GB,manchester_nhs
2026-04-30 12:00:00,50,,,,GB,manchester_nhs
2026-04-30 13:00:00,43,,,,GB,manchester_nhs
2026-04-30 14:00:00,45,,,,GB,manchester_nhs
2026-04-30 15:00:00,73,,,,GB,manchester_nhs
2026-04-30 16:00:00,79,,,,GB,manchester_nhs
2026-04-30 17:00:00,103,,,,GB,manchester_nhs
2026-04-30 18:00:00,150,,,,GB,manchester_nhs
2026-04-30 19:00:00,126,,,,GB,manchester_nhs
2026-04-30 20:00:00,84,,,,GB,manchester_nhs
2026-04-30 21:00:00,81,,,,GB,manchester_nhs
2026-04-30 22:00:00,61,,,,GB,manchester_nhs
2026-04-30 23:00:00,60,,,,GB,manchester_nhs
2026-05-01 00:00:00,83,,,,GB,manchester_nhs
2026-05-01 01:00:00,61,,,,GB,manchester_nhs
2026-05-01 02:00:00,86,,,,GB,manchester_nhs
2026-05-01 03:00:00,71,,,,GB,manchester_nhs
2026-05-01 04:00:00,100,,,,GB,manchester_nhs
2026-05-01 05:00:00,99,,,,GB,manchester_nhs
2026-05-01 06:00:00,145,,,,GB,manchester_nhs
2026-05-01 07:00:00,134,,,,GB,manchester_nhs
2026-05-01 08:00:00,101,,,,GB,manchester_nhs
2026-05-01 09:00:00,111,,,,GB,manchester_nhs
2026-05-01 10:00:00,125,,,,GB,manchester_nhs
2026-05-01 11:00:00,100,,,,GB,manchester_nhs
2026-05-01 12:00:00,118,,,,GB,manchester_nhs
2026-05-01 13:00:00,121,,,,GB,manchester_nhs
2026-05-01 14:00:00,95,,,,GB,manchester_nhs
2026-05-01 15:00:00,110,,,,GB,manchester_nhs
2026-05-01 16:00:00,153,,,,GB,manchester_nhs
2026-05-01 17:00:00,163,,,,GB,manchester_nhs
2026-05-01 18:00:00,202,,,,GB,manchester_nhs
2026-05-01 19:00:00,210,,,,GB,manchester_nhs
2026-05-01 20:00:00,227,,,,GB,manchester_nhs
2026-05-01 21:00:00,143,,,,GB,manchester_nhs
2026-05-01 22:00:00,153,,,,GB,manchester_nhs
2026-05-01 23:00:00,118,,,,GB,manchester_nhs
2026-05-02 00:00:00,153,,,,GB,manchester_nhs
2026-05-02 01:00:00,147,,,,GB,manchester_nhs
2026-05-02 02:00:00,110,,,,GB,manchester_nhs
2026-05-02 03:00:00,113,,,,GB,manchester_nhs
2026-05-02 04:00:00,142,,,,GB,manchester_nhs
2026-05-02 05:00:00,130,,,,GB,manchester_nhs
2026-05-02 06:00:00,165,,,,GB,manchester_nhs
2026-05-02 07:00:00,159,,,,GB,manchester_nhs
2026-05-02 08:00:00,119,,,,GB,manchester_nhs
2026-05-02 09:00:00,115,,,,GB,manchester_nhs
2026-05-02 10:00:00,103,,,,GB,manchester_nhs
2026-05-02 11:00:00,110,,,,GB,manchester_nhs
2026-05-02 12:00:00,83,,,,GB,manchester_nhs
2026-05-02 13:00:00,121,,,,GB,manchester_nhs
2026-05-02 14:00:00,138,,,,GB,manchester_nhs
2026-05-02 15:00:00,208,,,,GB,manchester_nhs
2026-05-02 16:00:00,229,,,,GB,manchester_nhs
2026-05-02 17:00:00,236,,,,GB,manchester_nhs
