fips_code,county,state,customers_out,run_start_time
04013,Maricopa,Arizona,69,2022-01-02 17:15:00
04013,Maricopa,Arizona,69,2022-01-02 17:30:00
04013,Maricopa,Arizona,69,2022-01-02 17:45:00
04013,Maricopa,Arizona,55,2022-01-02 18:00:00
04013,Maricopa,Arizona,55,2022-01-02 18:15:00
04013,Maricopa,Arizona,55,2022-01-02 18:30:00
04013,Maricopa,Arizona,205,2022-01-02 18:45:00
04013,Maricopa,Arizona,214,2022-01-02 19:00:00
04013,Maricopa,Arizona,204,2022-01-02 19:15:00
04013,Maricopa,Arizona,204,2022-01-02 19:30:00
04013,Maricopa,Arizona,13,2022-01-02 19:45:00
04013,Maricopa,Arizona,13,2022-01-02 20:00:00
04013,Maricopa,Arizona,13,2022-01-02 20:15:00
04013,Maricopa,Arizona,13,2022-01-02 20:30:00
04013,Maricopa,Arizona,12,2022-01-02 20:45:00
04013,Maricopa,Arizona,42,2022-01-03 03:15:00
04013,Maricopa,Arizona,42,2022-01-03 03:30:00
04013,Maricopa,Arizona,42,2022-01-03 03:45:00
04013,Maricopa,Arizona,11,2022-01-03 04:00:00
04013,Maricopa,Arizona,20,2022-01-03 05:15:00
04013,Maricopa,Arizona,20,2022-01-03 05:30:00
04013,Maricopa,Arizona,20,2022-01-03 05:45:00
04013,Maricopa,Arizona,20,2022-01-03 06:00:00
04013,Maricopa,Arizona,20,2022-01-03 06:15:00
04013,Maricopa,Arizona,20,2022-01-03 06:30:00
04013,Maricopa,Arizona,20,2022-01-03 06:45:00
04013,Maricopa,Arizona,20,2022-01-03 07:00:00
04013,Maricopa,Arizona,20,2022-01-03 07:15:00
04013,Maricopa,Arizona,20,2022-01-03 07:30:00
04013,Maricopa,Arizona,43,2022-01-03 10:00:00
04013,Maricopa,Arizona,43,2022-01-03 10:15:00
04013,Maricopa,Arizona,43,2022-01-03 10:30:00
04013,Maricopa,Arizona,91,2022-01-03 13:00:00
04013,Maricopa,Arizona,1,2022-01-03 14:30:00
04013,Maricopa,Arizona,1,2022-01-03 14:45:00
04013,Maricopa,Arizona,19,2022-01-03 15:00:00
04013,Maricopa,Arizona,29,2022-01-03 15:15:00
04013,Maricopa,Arizona,29,2022-01-03 15:30:00
04013,Maricopa,Arizona,33,2022-01-03 15:45:00
04013,Maricopa,Arizona,33,2022-01-03 16:00:00
04013,Maricopa,Arizona,441,2022-01-03 16:15:00
04013,Maricopa,Arizona,453,2022-01-03 16:30:00
04013,Maricopa,Arizona,440,2022-01-03 16:45:00
04013,Maricopa,Arizona,432,2022-01-03 17:00:00
04013,Maricopa,Arizona,435,2022-01-03 17:15:00
04013,Maricopa,Arizona,457,2022-01-03 17:30:00
04013,Maricopa,Arizona,30,2022-01-03 17:45:00
04013,Maricopa,Arizona,25,2022-01-03 18:00:00
04013,Maricopa,Arizona,2,2022-01-03 18:15:00
04013,Maricopa,Arizona,2,2022-01-03 18:30:00
04013,Maricopa,Arizona,19,2022-01-03 18:45:00
04013,Maricopa,Arizona,19,2022-01-03 19:00:00
04013,Maricopa,Arizona,19,2022-01-03 19:15:00
04013,Maricopa,Arizona,19,2022-01-03 19:30:00
04013,Maricopa,Arizona,19,2022-01-03 19:45:00
04013,Maricopa,Arizona,19,2022-01-03 20:00:00
04013,Maricopa,Arizona,262,2022-01-03 20:15:00
04013,Maricopa,Arizona,262,2022-01-03 20:30:00
04013,Maricopa,Arizona,13,2022-01-03 20:45:00
04013,Maricopa,Arizona,2,2022-01-03 21:00:00
04013,Maricopa,Arizona,2,2022-01-03 21:15:00
04013,Maricopa,Arizona,6,2022-01-03 22:00:00
04013,Maricopa,Arizona,6,2022-01-03 22:15:00
04013,Maricopa,Arizona,6,2022-01-03 22:30:00
04013,Maricopa,Arizona,6,2022-01-03 22:45:00
04013,Maricopa,Arizona,6,2022-01-03 23:00:00
04013,Maricopa,Arizona,109,2022-01-03 23:15:00
04013,Maricopa,Arizona,110,2022-01-03 23:30:00
04013,Maricopa,Arizona,111,2022-01-03 23:45:00
04013,Maricopa,Arizona,115,2022-01-04 00:00:00
04013,Maricopa,Arizona,115,2022-01-04 00:15:00
04013,Maricopa,Arizona,114,2022-01-04 00:30:00
04013,Maricopa,Arizona,114,2022-01-04 00:45:00
04013,Maricopa,Arizona,114,2022-01-04 01:00:00
04013,Maricopa,Arizona,114,2022-01-04 01:15:00
04013,Maricopa,Arizona,116,2022-01-04 01:30:00
04013,Maricopa,Arizona,134,2022-01-04 01:45:00
04013,Maricopa,Arizona,125,2022-01-04 02:00:00
04013,Maricopa,Arizona,30,2022-01-04 02:15:00
04013,Maricopa,Arizona,30,2022-01-04 02:30:00
04013,Maricopa,Arizona,42,2022-01-04 02:45:00
04013,Maricopa,Arizona,42,2022-01-04 03:00:00
04013,Maricopa,Arizona,76,2022-01-04 03:15:00
04013,Maricopa,Arizona,76,2022-01-04 03:30:00
04013,Maricopa,Arizona,70,2022-01-04 03:45:00
04013,Maricopa,Arizona,70,2022-01-04 04:00:00
04013,Maricopa,Arizona,70,2022-01-04 04:15:00
04013,Maricopa,Arizona,70,2022-01-04 04:30:00
04013,Maricopa,Arizona,61,2022-01-04 04:45:00
04013,Maricopa,Arizona,57,2022-01-04 05:00:00
04013,Maricopa,Arizona,57,2022-01-04 05:15:00
04013,Maricopa,Arizona,57,2022-01-04 05:30:00
04013,Maricopa,Arizona,57,2022-01-04 05:45:00
04013,Maricopa,Arizona,57,2022-01-04 06:00:00
04013,Maricopa,Arizona,57,2022-01-04 06:15:00
04013,Maricopa,Arizona,57,2022-01-04 06:30:00
04013,Maricopa,Arizona,57,2022-01-04 06:45:00
04013,Maricopa,Arizona,3,2022-01-04 07:00:00
04013,Maricopa,Arizona,3,2022-01-04 07:15:00
04013,Maricopa,Arizona,3,2022-01-04 07:30:00
04013,Maricopa,Arizona,3,2022-01-04 07:45:00
04013,Maricopa,Arizona,3,2022-01-04 08:00:00
04013,Maricopa,Arizona,3,2022-01-04 08:15:00
04013,Maricopa,Arizona,3,2022-01-04 08:30:00
04013,Maricopa,Arizona,1321,2022-01-04 13:45:00
04013,Maricopa,Arizona,1321,2022-01-04 14:00:00
04013,Maricopa,Arizona,1321,2022-01-04 14:15:00
04013,Maricopa,Arizona,1321,2022-01-04 14:30:00
04013,Maricopa,Arizona,1321,2022-01-04 14:45:00
04013,Maricopa,Arizona,1766,2022-01-04 15:00:00
04013,Maricopa,Arizona,454,2022-01-04 15:15:00
04013,Maricopa,Arizona,454,2022-01-04 15:30:00
04013,Maricopa,Arizona,471,2022-01-04 15:45:00
04013,Maricopa,Arizona,481,2022-01-04 16:00:00
04013,Maricopa,Arizona,481,2022-01-04 16:15:00
04013,Maricopa,Arizona,48,2022-01-04 16:30:00
04013,Maricopa,Arizona,48,2022-01-04 16:45:00
04013,Maricopa,Arizona,48,2022-01-04 17:00:00
04013,Maricopa,Arizona,32,2022-01-04 17:15:00
04013,Maricopa,Arizona,41,2022-01-04 17:30:00
04013,Maricopa,Arizona,43,2022-01-04 17:45:00
04013,Maricopa,Arizona,53,2022-01-04 18:00:00
04013,Maricopa,Arizona,63,2022-01-04 18:15:00
04013,Maricopa,Arizona,58,2022-01-04 18:30:00
04013,Maricopa,Arizona,69,2022-01-04 18:45:00
04013,Maricopa,Arizona,69,2022-01-04 19:00:00
04013,Maricopa,Arizona,53,2022-01-04 19:15:00
04013,Maricopa,Arizona,51,2022-01-04 19:30:00
04013,Maricopa,Arizona,49,2022-01-04 19:45:00
04013,Maricopa,Arizona,47,2022-01-04 20:00:00
04013,Maricopa,Arizona,47,2022-01-04 20:15:00
04013,Maricopa,Arizona,47,2022-01-04 20:30:00
04013,Maricopa,Arizona,47,2022-01-04 20:45:00
04013,Maricopa,Arizona,30,2022-01-04 21:00:00
04013,Maricopa,Arizona,10,2022-01-04 21:15:00
04013,Maricopa,Arizona,10,2022-01-04 21:30:00
04013,Maricopa,Arizona,6,2022-01-04 22:15:00
04013,Maricopa,Arizona,6,2022-01-04 22:30:00
04013,Maricopa,Arizona,6,2022-01-04 22:45:00
04013,Maricopa,Arizona,5,2022-01-04 23:00:00
04013,Maricopa,Arizona,5,2022-01-04 23:15:00
04013,Maricopa,Arizona,5,2022-01-04 23:30:00
04013,Maricopa,Arizona,5,2022-01-04 23:45:00
04013,Maricopa,Arizona,2,2022-01-05 05:00:00
04013,Maricopa,Arizona,2,2022-01-05 05:15:00
04013,Maricopa,Arizona,2,2022-01-05 05:30:00
04013,Maricopa,Arizona,2,2022-01-05 05:45:00
04013,Maricopa,Arizona,2,2022-01-05 06:00:00
04013,Maricopa,Arizona,2,2022-01-05 06:15:00
04013,Maricopa,Arizona,2,2022-01-05 06:30:00
04013,Maricopa,Arizona,2,2022-01-05 06:45:00
04013,Maricopa,Arizona,2,2022-01-05 07:00:00
04013,Maricopa,Arizona,2,2022-01-05 07:15:00
04013,Maricopa,Arizona,2,2022-01-05 07:30:00
04013,Maricopa,Arizona,2,2022-01-05 07:45:00
04013,Maricopa,Arizona,2,2022-01-05 08:00:00
04013,Maricopa,Arizona,2,2022-01-05 08:15:00
04013,Maricopa,Arizona,2,2022-01-05 08:30:00
04013,Maricopa,Arizona,2,2022-01-05 08:45:00
04013,Maricopa,Arizona,2,2022-01-05 09:00:00
04013,Maricopa,Arizona,2,2022-01-05 09:15:00
04013,Maricopa,Arizona,2,2022-01-05 09:30:00
04013,Maricopa,Arizona,2,2022-01-05 09:45:00
04013,Maricopa,Arizona,2,2022-01-05 10:00:00
04013,Maricopa,Arizona,2,2022-01-05 10:15:00
04013,Maricopa,Arizona,2,2022-01-05 14:45:00
04013,Maricopa,Arizona,8,2022-01-05 15:00:00
04013,Maricopa,Arizona,24,2022-01-05 15:15:00
04013,Maricopa,Arizona,19,2022-01-05 15:30:00
04013,Maricopa,Arizona,19,2022-01-05 15:45:00
04013,Maricopa,Arizona,877,2022-01-05 16:00:00
04013,Maricopa,Arizona,877,2022-01-05 16:15:00
04013,Maricopa,Arizona,860,2022-01-05 16:30:00
04013,Maricopa,Arizona,50,2022-01-05 16:45:00
04013,Maricopa,Arizona,50,2022-01-05 17:00:00
04013,Maricopa,Arizona,50,2022-01-05 17:15:00
04013,Maricopa,Arizona,59,2022-01-05 17:30:00
04013,Maricopa,Arizona,70,2022-01-05 17:45:00
04013,Maricopa,Arizona,53,2022-01-05 18:00:00
04013,Maricopa,Arizona,63,2022-01-05 18:15:00
04013,Maricopa,Arizona,244,2022-01-05 18:30:00
04013,Maricopa,Arizona,98,2022-01-05 18:45:00
04013,Maricopa,Arizona,109,2022-01-05 19:00:00
04013,Maricopa,Arizona,107,2022-01-05 19:15:00
04013,Maricopa,Arizona,73,2022-01-05 19:30:00
