model,f1_cv,accuracy,precision,recall,f1,roc_auc,brier
XGBoost,0.2931,0.9486,0.7419,0.697,0.7188,0.9536,0.0407
LightGBM,0.2841,0.9366,0.6216,0.8364,0.7132,0.9585,0.0532
RandomForest,0.2833,0.8516,0.3677,0.8,0.5038,0.9248,0.108
