feature,importance
hour,0.16871329
night_no_solar,0.0731788
dry_season,0.053515352
hour_cos,0.03051075
month_cos,0.029612051
is_weekend,0.028527237
solar_ratio,0.028213037
load_std_24h,0.026656345
rainy_season,0.02431446
day_of_week,0.024022713
precip_cumul_48h,0.021862194
precip_cumul_24h,0.021401381
peak_demand_hours,0.020970535
month_sin,0.020829603
load_diff_24h,0.020050207
base_load_ratio,0.019761477
precip_cumul_6h,0.019466797
wind_precipitation_interaction,0.018763633
surface_pressure,0.018719545
temp_humidity_interaction,0.017644107
solar_pv_kw,0.01743572
shortwave_radiation,0.016829178
sterilization_kw,0.016691642
month,0.016591711
load_rolling_24h,0.016471911
weathercode,0.016042814
peak_ratio,0.016004873
pressure_drop_3h,0.015843824
load_pct_change_1h,0.01567839
hour_sin,0.01543512
load_rolling_6h,0.015147312
relative_humidity_2m,0.015123562
total_load_kw,0.01457625
load_diff_1h,0.014201023
base_load_kw,0.014200106
wind_gusts_10m,0.014199596
gust_load_interaction,0.013957353
precipitation,0.013071724
temperature_2m,0.012742995
wind_speed_10m,0.012648799
heat_stress,0.010372653
solar_available,0.0
dangerous_gusts,0.0
thunderstorm_risk,0.0
storm_risk,0.0
wmo_storm,0.0
cape,0.0
