feature,mean_abs_shap
day_of_week,1.0507224
month,0.76960903
solar_ratio,0.69447494
gust_load_interaction,0.6720997
surface_pressure,0.67082644
load_std_24h,0.6179115
base_load_ratio,0.5391834
hour,0.5387952
load_rolling_24h,0.48024887
sterilization_kw,0.44938388
load_diff_24h,0.43851855
peak_ratio,0.37766248
base_load_kw,0.32735953
load_diff_1h,0.3225997
load_rolling_6h,0.31219643
wind_speed_10m,0.2943268
solar_pv_kw,0.2925074
wind_gusts_10m,0.29231784
precip_cumul_48h,0.2831094
temp_humidity_interaction,0.26411453
temperature_2m,0.20982641
load_pct_change_1h,0.19912662
hour_cos,0.18504821
precip_cumul_24h,0.18182252
relative_humidity_2m,0.18158399
weathercode,0.15875834
total_load_kw,0.14980705
shortwave_radiation,0.1196534
hour_sin,0.11004169
wind_precipitation_interaction,0.09456723
night_no_solar,0.07107333
is_weekend,0.06567842
precip_cumul_6h,0.058846943
month_sin,0.02398099
precipitation,0.022593733
month_cos,0.01781057
peak_demand_hours,0.017517958
pressure_drop_3h,0.010410118
heat_stress,0.004805899
solar_available,0.0023086695
dry_season,0.0
rainy_season,0.0
cape,0.0
dangerous_gusts,0.0
thunderstorm_risk,0.0
storm_risk,0.0
wmo_storm,0.0
