model,f1_cv,accuracy,precision,recall,f1,roc_auc,brier
LightGBM,0.4175,0.7489,0.4673,0.7733,0.5825,0.8517,0.1625
XGBoost,0.4229,0.7243,0.4382,0.7683,0.5581,0.8323,0.1717
RandomForest,0.4219,0.609,0.3602,0.9345,0.52,0.8353,0.2302
