feature,mean_abs_shap
precip_cumul_48h,1.0292674639076376
day_of_week,0.8128836100078739
load_std_24h,0.6819743468108924
temp_humidity_interaction,0.5632969795293105
precip_cumul_24h,0.3578221402285889
gust_load_interaction,0.31794891431111977
relative_humidity_2m,0.2709177788784082
load_rolling_24h,0.2700454477624933
hour_cos,0.26460986755091026
month,0.25608563184607047
sterilization_kw,0.24751988313736473
hour,0.23113196999829325
solar_ratio,0.21548667645269162
wind_gusts_10m,0.18923776170225629
load_diff_24h,0.15595556372576824
base_load_ratio,0.15103159083431827
surface_pressure,0.13785738407563886
base_load_kw,0.1361286355451877
load_rolling_6h,0.12825761119880058
load_pct_change_1h,0.10858770666852786
solar_pv_kw,0.09534294190539555
load_diff_1h,0.08123724825430378
peak_ratio,0.07577934074567177
weathercode,0.05949496285991898
total_load_kw,0.054801582437743496
wind_speed_10m,0.048907083135804615
hour_sin,0.048438391477494805
temperature_2m,0.046472076261635104
precip_cumul_6h,0.045290273301654894
shortwave_radiation,0.025362540172081678
month_cos,0.025078371169315515
month_sin,0.021225733237539
is_weekend,0.014061192311241635
wind_precipitation_interaction,0.013571914474604731
peak_demand_hours,0.009008129630405022
pressure_drop_3h,0.006386352106673453
dry_season,0.0038483980623226733
precipitation,0.002596501716145464
heat_stress,0.0025379412886845196
night_no_solar,0.000828491845724469
solar_available,0.0
rainy_season,0.0
cape,0.0
dangerous_gusts,0.0
thunderstorm_risk,0.0
storm_risk,0.0
wmo_storm,0.0
