feature,importance
load_std_24h,584
load_rolling_24h,443
precip_cumul_48h,431
precip_cumul_24h,326
load_diff_24h,287
day_of_week,285
solar_ratio,238
base_load_ratio,217
sterilization_kw,198
surface_pressure,195
solar_pv_kw,191
load_rolling_6h,188
temp_humidity_interaction,173
peak_ratio,164
month,153
month_cos,139
temperature_2m,139
load_pct_change_1h,133
gust_load_interaction,132
hour,127
wind_speed_10m,118
load_diff_1h,118
precip_cumul_6h,110
hour_sin,108
base_load_kw,107
hour_cos,106
total_load_kw,100
wind_gusts_10m,91
relative_humidity_2m,90
month_sin,80
shortwave_radiation,38
weathercode,30
wind_precipitation_interaction,25
rainy_season,24
precipitation,20
is_weekend,13
dry_season,12
peak_demand_hours,5
night_no_solar,2
solar_available,1
pressure_drop_3h,1
heat_stress,0
dangerous_gusts,0
cape,0
thunderstorm_risk,0
storm_risk,0
wmo_storm,0
