model,f1_cv,accuracy,precision,recall,f1,roc_auc,brier
LightGBM,0.3308,0.9384,0.6234,0.8727,0.7273,0.9737,0.0466
XGBoost,0.3283,0.9258,0.5758,0.8061,0.6717,0.958,0.0578
RandomForest,0.3135,0.8567,0.3806,0.8303,0.5219,0.9417,0.1019
