feature,mean_abs_shap
solar_ratio,1.2488296955158
day_of_week,0.9906641602892742
surface_pressure,0.6252881364643419
precip_cumul_48h,0.5449024395112853
load_rolling_6h,0.4522133455289166
solar_pv_kw,0.44075584965078685
gust_load_interaction,0.3646362586924968
peak_ratio,0.35059314315667567
load_rolling_24h,0.35030371831988155
hour_sin,0.2746742492962025
month,0.24738420276334658
hour_cos,0.2326292821272833
temp_humidity_interaction,0.2295582971706014
load_std_24h,0.22849522210126716
weathercode,0.21638656928789343
load_diff_24h,0.21620552960572822
precip_cumul_24h,0.21180566403092965
temperature_2m,0.18247914254398725
sterilization_kw,0.17461238956877237
relative_humidity_2m,0.15955801485550278
precip_cumul_6h,0.15720605150470585
base_load_kw,0.14474084944628338
base_load_ratio,0.1444182848586499
load_diff_1h,0.14107150918813713
total_load_kw,0.11612317169416783
wind_speed_10m,0.09156890220343386
shortwave_radiation,0.0885713660532759
wind_gusts_10m,0.0829740001609429
load_pct_change_1h,0.0738034768015827
hour,0.07043194980039927
is_weekend,0.0418572014977035
month_cos,0.033535125307680685
dry_season,0.023399274430707037
month_sin,0.017491937118966964
peak_demand_hours,0.005628185346950947
night_no_solar,0.00425494042578297
precipitation,0.003828614046474481
wind_precipitation_interaction,0.001663265335033026
heat_stress,0.0010222580066702642
solar_available,0.0
rainy_season,0.0
cape,0.0
dangerous_gusts,0.0
thunderstorm_risk,0.0
storm_risk,0.0
wmo_storm,0.0
pressure_drop_3h,0.0
